cvarRL/train.py --algo ppo --model experiment3_25_0.1_0.7_10 --budget 25 --stochasticity 0.1 --cost 0.7 --frames 5000000 --save-interval 10 --max_lr 0.005 --min_lr 0.0001 --seed 10

Namespace(algo='ppo', budget='25', stochasticity='0.1', cost='0.7', model='experiment3_25_0.1_0.7_10', seed=10, log_interval=1, save_interval=10, procs=16, frames=5000000, epochs=4, batch_size=256, frames_per_proc=None, discount=0.99, max_lr=0.005, min_lr=0.0001, gae_lambda=0.95, entropy_coef=0.01, value_loss_coef=0.5, max_grad_norm=0.5, optim_eps=1e-08, optim_alpha=0.99, clip_eps=0.2, recurrence=1, text=False, mem=False)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (actor): Sequential(
    (0): Linear(in_features=2, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=2, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Model adversary loaded

ACModel_adversary(
  (actor): Sequential(
    (0): Linear(in_features=7, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=7, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 22 | F 045056 | FPS 1729 | D 28 | rR:μσmM -1.18 0.11 -1.81 -1.03 | F:μσmM 6.1 3.2 2.0 24.0 | H 0.937 | V -1.091 | pL -0.027 | vL 0.005 | ∇ 0.074
U 23 | F 047104 | FPS 1635 | D 30 | rR:μσmM -1.15 0.14 -1.67 0.23 | F:μσmM 5.5 3.0 2.0 24.0 | H 0.797 | V 1.061 | pL 0.058 | vL 0.016 | ∇ 0.074
U 24 | F 049152 | FPS 1643 | D 31 | rR:μσmM -1.15 0.13 -2.16 0.19 | F:μσmM 5.5 3.3 3.0 34.0 | H 0.832 | V 1.057 | pL 0.026 | vL 0.015 | ∇ 0.092
U 25 | F 051200 | FPS 1798 | D 32 | rR:μσmM -1.14 0.08 -1.56 -1.07 | F:μσmM 5.1 2.3 3.0 17.0 | H 0.825 | V -1.067 | pL -0.022 | vL 0.003 | ∇ 0.037
U 26 | F 053248 | FPS 1630 | D 33 | rR:μσmM -1.12 0.14 -1.77 0.16 | F:μσmM 5.2 5.1 2.0 80.0 | H 0.801 | V 0.995 | pL 0.081 | vL 0.040 | ∇ 0.216
U 27 | F 055296 | FPS 1638 | D 35 | rR:μσmM -1.13 0.10 -1.56 0.40 | F:μσmM 4.9 2.1 2.0 18.0 | H 0.819 | V 1.045 | pL 0.057 | vL 0.011 | ∇ 0.076
U 28 | F 057344 | FPS 1801 | D 36 | rR:μσmM -1.13 0.08 -1.60 -0.68 | F:μσmM 4.8 3.6 2.0 49.0 | H 0.742 | V -1.049 | pL -0.031 | vL 0.021 | ∇ 0.077
U 29 | F 059392 | FPS 1636 | D 37 | rR:μσmM -1.12 0.11 -1.67 0.33 | F:μσmM 4.6 2.8 2.0 41.0 | H 0.903 | V 1.023 | pL 0.026 | vL 0.013 | ∇ 0.059
U 30 | F 061440 | FPS 1587 | D 38 | rR:μσmM -1.09 0.07 -1.63 -1.03 | F:μσmM 3.4 1.9 2.0 19.0 | H 0.847 | V 1.042 | pL 0.037 | vL 0.002 | ∇ 0.151
Status saved: ./results/cvarRL/storage/experiment3_25_0.1_0.7_10
