cvarRL/train.py --algo ppo --model experiment2_1_0.1_0.7_2 --budget 1 --stochasticity 0.1 --cost 0.7 --frames 5000000 --save-interval 10 --max_lr 0.005 --min_lr 0.0001 --seed 2

Namespace(algo='ppo', budget='1', stochasticity='0.1', cost='0.7', model='experiment2_1_0.1_0.7_2', seed=2, log_interval=1, save_interval=10, procs=16, frames=5000000, epochs=4, batch_size=256, frames_per_proc=None, discount=0.99, max_lr=0.005, min_lr=0.0001, gae_lambda=0.95, entropy_coef=0.01, value_loss_coef=0.5, max_grad_norm=0.5, optim_eps=1e-08, optim_alpha=0.99, clip_eps=0.2, recurrence=1, text=False, mem=False)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (actor): Sequential(
    (0): Linear(in_features=2, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=2, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Model adversary loaded

ACModel_adversary(
  (actor): Sequential(
    (0): Linear(in_features=7, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=7, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 22 | F 045056 | FPS 1726 | D 26 | rR:μσmM -1.10 0.36 -7.47 0.37 | F:μσmM 4.9 11.6 2.0 186.0 | H 0.886 | V -1.008 | pL -0.015 | vL 0.063 | ∇ 0.162
U 23 | F 047104 | FPS 1626 | D 27 | rR:μσmM -1.08 0.09 -1.52 0.23 | F:μσmM 3.5 3.6 2.0 67.0 | H 0.847 | V 0.991 | pL 0.035 | vL 0.020 | ∇ 0.097
U 24 | F 049152 | FPS 1653 | D 28 | rR:μσmM -1.08 0.13 -2.09 0.33 | F:μσmM 3.7 4.7 2.0 83.0 | H 0.839 | V 0.984 | pL 0.031 | vL 0.046 | ∇ 0.266
U 25 | F 051200 | FPS 1763 | D 30 | rR:μσmM -1.08 0.13 -2.71 0.33 | F:μσmM 3.8 6.1 2.0 107.0 | H 0.716 | V -0.955 | pL -0.018 | vL 0.021 | ∇ 0.088
U 26 | F 053248 | FPS 1600 | D 31 | rR:μσmM -1.07 0.12 -1.77 0.48 | F:μσmM 3.4 4.2 2.0 76.0 | H 0.833 | V 0.948 | pL 0.072 | vL 0.036 | ∇ 0.145
U 27 | F 055296 | FPS 1632 | D 32 | rR:μσmM -1.05 0.17 -1.42 0.44 | F:μσmM 3.8 5.8 2.0 65.0 | H 0.822 | V 0.823 | pL 0.109 | vL 0.047 | ∇ 0.197
U 28 | F 057344 | FPS 1767 | D 33 | rR:μσmM -1.06 0.14 -1.56 0.44 | F:μσmM 3.4 4.0 2.0 60.0 | H 0.683 | V -0.896 | pL -0.043 | vL 0.034 | ∇ 0.179
U 29 | F 059392 | FPS 1625 | D 35 | rR:μσmM -1.06 0.11 -1.49 0.58 | F:μσmM 3.1 4.0 2.0 68.0 | H 0.823 | V 0.912 | pL 0.030 | vL 0.025 | ∇ 0.220
U 30 | F 061440 | FPS 1627 | D 36 | rR:μσmM -1.06 0.07 -1.35 0.55 | F:μσmM 2.8 1.3 2.0 14.0 | H 0.828 | V 1.008 | pL 0.071 | vL 0.019 | ∇ 0.056
Status saved: ./results/cvarRL/storage/experiment2_1_0.1_0.7_2
U 31 | F 063488 | FPS 1740 | D 37 | rR:μσmM -1.05 0.12 -1.63 0.51 | F:μσmM 3.1 4.0 2.0 76.0 | H 0.568 | V -0.905 | pL 0.037 | vL 0.030 | ∇ 0.165
U 32 | F 065536 | FPS 1646 | D 38 | rR:μσmM -1.05 0.14 -1.49 0.48 | F:μσmM 3.2 4.3 2.0 63.0 | H 0.796 | V 0.814 | pL 0.089 | vL 0.072 | ∇ 0.244
U 33 | F 067584 | FPS 1643 | D 39 | rR:μσmM -1.05 0.17 -3.10 0.51 | F:μσmM 3.4 7.1 2.0 118.0 | H 0.800 | V 0.826 | pL 0.087 | vL 0.062 | ∇ 0.286
U 34 | F 069632 | FPS 1753 | D 41 | rR:μσmM -1.05 0.14 -1.66 0.33 | F:μσmM 3.6 6.9 2.0 77.0 | H 0.590 | V -0.726 | pL 0.037 | vL 0.040 | ∇ 0.291
U 35 | F 071680 | FPS 1608 | D 42 | rR:μσmM -1.04 0.23 -4.88 0.58 | F:μσmM 3.4 7.4 2.0 169.0 | H 0.814 | V 0.864 | pL 0.072 | vL 0.054 | ∇ 0.089
U 36 | F 073728 | FPS 1624 | D 43 | rR:μσmM -1.03 0.18 -1.49 0.58 | F:μσmM 3.0 3.1 2.0 32.0 | H 0.811 | V 0.827 | pL 0.111 | vL 0.040 | ∇ 0.118
