update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1834.2172289186726,1,-1.1544322334366404,0.2592994426470427,-3.0999996662139893,-0.33000004291534424,6.04029304029304,8.366722146370522,2.0,61.0,1.3093433231115341,-1.2493774890899658,0.01853052817750722,0.12358724884688854,0.3026306164529123,-1.1544322334366404,0.2592994426470427,-3.0999996662139893,-0.33000004291534424
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1703.7686284419265,2,-1.1879153134459155,0.39245121115160714,-4.220002174377441,-0.22500014305114746,7.918644067796611,15.756198399104916,2.0,113.0,0.3154699895530939,-0.30386507883667946,-0.5596974827349186,1.3979957699775696,0.3433069774988117,-1.1879153134459155,0.39245121115160714,-4.220002174377441,-0.22500014305114746
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1654.1923295345675,3,-1.0760557265901887,0.20421044136613017,-4.010002136230469,0.0899997353553772,3.5591216216216215,6.081642006787452,2.0,87.0,0.38922830298542976,0.395463764667511,-0.7058849632740021,0.9087308198213577,0.23125133457061,-1.0760557265901887,0.20421044136613017,-4.010002136230469,0.0899997353553772
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1795.8627089091358,4,-1.0825806296301521,0.18890572646145626,-3.380000352859497,0.4399999976158142,3.793168880455408,5.9224038993310355,2.0,70.0,1.1602236330509186,-1.0946990102529526,-0.061165503691881895,0.06547579541802406,0.23391532668805304,-1.0825806296301521,0.18890572646145626,-3.380000352859497,0.4399999976158142
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1620.7711216010246,5,-1.0519662005478567,0.0768600935262485,-2.4699997901916504,-0.7149996757507324,2.5536791314837153,2.725667939442092,2.0,50.0,0.12309992033988237,0.9387747570872307,-0.46184973046183586,0.18688993155956268,0.05610321743212569,-1.0519662005478567,0.0768600935262485,-2.4699997901916504,-0.7149996757507324
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1620.2349060482943,7,-1.0522235485647022,0.059740039966030264,-1.7350001335144043,-1.034999966621399,2.492102065613609,1.7068579645328703,2.0,22.0,0.20395082980394363,0.9950689747929573,-0.0598592241294682,0.016839735442772508,0.09115287680745338,-1.0522235485647022,0.059740039966030264,-1.7350001335144043,-1.034999966621399
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1748.9464181039932,8,-1.0509963958815345,0.06028268697373695,-1.875000238418579,-1.034999966621399,2.457040572792363,1.7223622081082368,2.0,26.0,0.9073946699500084,-1.034054771065712,-0.043990565463900566,0.0027263800147920847,0.08805381804482057,-1.0509963958815345,0.06028268697373695,-1.875000238418579,-1.034999966621399
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1608.3396494691597,9,-1.0409809842642852,0.02511971543970746,-1.2799999713897705,-1.034999966621399,2.170886075949367,0.7177058913754167,2.0,9.0,0.13136887550354004,1.0167728960514069,-0.017119742929935455,0.00042155228584306315,0.02804724449127957,-1.0409809842642852,0.02511971543970746,-1.2799999713897705,-1.034999966621399
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1605.257096682624,10,-1.0397494483840242,0.02104499046989039,-1.2799999713897705,-1.034999966621399,2.135699373695198,0.6012852287602668,2.0,9.0,0.12184093985706568,1.016872689127922,-0.0030382038094103336,0.00036255888699088246,0.033737009250505726,-1.0397494483840242,0.02104499046989039,-1.2799999713897705,-1.034999966621399
